kind;outputdata;year;unused1;unused2;code;halfyear
5;"Адвокатская деятельность : ответы на экзаменац. вопросы / Н.В. Калмыкова, Н.Н. Довнар. – Минск : ТетраСистемс, 2008. – 203 с. – (Ответы на экзаменационные вопросы)";2008;;;733;
5;"Криминология : ответы на экзаменационные вопросы / В.А. Кашевский, И.И. Куценков, А.А. Примаченок. – 2-е изд., испр. – Минск : ТетраСистемс, 2008. – 142 с. – (Ответы на экзаменационные вопросы)";2008;;;856;
5;"Криминология :  ответы на экзаменационные вопросы / В.А. Кашевский, И.И. Куценков, А.А. Примаченок. – Минск : ТетраСистемс, 2007. – 144 с. – (Ответы на экзаменационные вопросы).";2007;;;857;
5;"Уголовное право Республики Беларусь. Особенная часть : с учетом изменений и дополнений, внесенных в УК по состоянию на 1 марта 2008 г. / А. А. Примаченок. – 6-е изд., доп. – Минск : Молодежное, 2008. – 149 с. – (Библиотека юриста).";2008;;;859;
5;"Уголовное право Республики Беларусь. Особенная часть : с учетом изменений и дополнений, внесенных в УК по состоянию на 25 октября 2007 г. / А. А. Примаченок. – 5-е изд., доп. – Минск : Молодежное, 2008. – 135 с. – (Библиотека юриста).";2008;;;860;
5;"Уголовное право Республики Беларусь. Общая часть : с учетом изменений и дополнений, внесенных в УК по состоянию на 18 июля 2007 г. / А. А. Примаченок. – 4-е изд., дополненное. – Минск : Молодежное, 2008. – 103 с. – (Библиотека юриста).";2008;;;861;
5;"Уголовное право Республики Беларусь. Общая часть : с учетом изменений и дополнений, внесенных в УК по состоянию на 31 декабря 2006 г. / А. А. Примаченок. – 3-е изд., дополненное. – Минск : Молодежное, 2007. – 67 с. – (Библиотека юриста).";2007;;;862;
5;"Уголовное право Республики Беларусь. Общая часть : с учетом изменений и дополнений, внесенных в УК по состоянию на 31 августа 2006 г. / А.А. Примаченок. – 2-е изд., дополненное. – Минск : Молодежное, 2006. – 79 с. – (Библиотека юриста).";2006;;;863;
5;"Уголовное право Республики Беларусь. Особенная часть : с учетом изменеий и дополнений, внесенных в УК по состоянию на 20 октября 2008 г. / А. А. Примаченок. – 7-е изд., дополненное. – Минск : Молодежное, 2009. – 151 с. – (Библиотека юриста)";2009;;;864;
5;"Уголовное право Республики Беларусь. Особенная часть / А. А. Примаченок. – 3-е изд., стер. – Минск : Молодежное, 2007. – 136 с. – (Библиотека юриста)";2007;;;865;
5;"Вопросы квалификации административных правонарушений в сфере семейно-бытовых отношений : практ. пособие /  И.Л. Федчук, И.В. Козелецкий, С.В. Добриян ; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 88 с. – Прил. : Макеты дел об административных правонарушениях. Макет дела о направление в лечебно-трудовой профилакторий";2008;;;1065;
5;"Французский язык : практ. пособие / Г.М. Бабич, Е.Н. Молчан; М-во внутрен. дел Респ. Беларусь, Акад. МВД. – Минск : Акад. МВД Респ. Беларусь, 2008. – 140 с.";2008;;;1151;
