publication;author;department;isauthor;code
1097;323;20;1;450
1913;323;20;1;451
1913;1;1;0;452
1913;326;20;0;453
1915;241;13;1;454
1916;272;17;1;455
1917;274;17;1;456
1918;322;20;1;457
1919;238;13;1;458
1921;329;20;1;459
1922;318;20;1;460
1922;195;12;0;461
1923;171;8;1;462
1923;161;8;0;463
1924;322;20;1;464
1925;120;7;1;465
1926;120;7;1;466
1927;88;5;1;467
1928;96;6;1;468
1323;323;20;1;469
1319;323;20;1;470
1324;323;20;1;471
1929;234;13;1;472
1930;123;7;1;473
1931;318;20;1;474
1298;102;6;0;475
1136;35;2;0;476
590;67;4;0;477
1721;241;13;1;478
1624;290;18;0;479
1932;225;13;1;480
1933;322;20;1;481
1934;17;1;1;482
1935;246;13;1;483
1936;83;5;1;484
1938;91;5;1;485
1939;274;17;1;486
1940;322;20;1;487
1937;85;5;1;488
1937;91;5;0;489
1941;287;15;1;490
1942;6;1;1;491
1943;19;1;1;492
1944;74;4;1;493
1945;61;3;1;494
1946;285;15;1;495
1947;225;13;1;496
1948;225;13;1;497
1948;109;7;0;498
1949;230;13;1;499
1950;290;18;1;500
1951;241;13;1;501
1952;176;10;1;502
1953;177;10;1;503
1954;178;10;1;504
1955;324;20;1;505
1956;180;10;1;506
1957;182;10;1;507
1958;183;10;1;508
1959;88;5;1;509
1960;246;13;1;510
1961;105;7;1;511
1962;322;20;1;512
1963;154;8;1;513
1964;327;20;1;514
1965;246;13;1;515
1966;128;7;1;516
1967;322;20;1;517
1968;176;10;1;518
1970;241;13;1;519
1353;105;7;1;520
1972;244;13;1;521
1973;70;4;1;522
1974;249;16;1;523
1975;322;20;1;524
1976;327;20;1;525
1977;327;20;1;526
1978;238;13;1;527
1969;225;13;1;528
1979;234;13;1;529
1981;178;10;1;530
1980;242;13;1;531
1982;227;13;1;532
1983;323;20;1;533
1984;243;13;1;534
1985;238;13;1;535
1986;323;20;1;536
1987;323;20;1;537
1988;323;20;1;538
1989;124;7;1;539
1989;319;7;0;540
1990;323;20;1;541
1992;323;20;1;542
1993;323;20;1;543
1994;323;20;1;544
1995;323;20;1;545
1991;260;16;1;546
1997;259;16;1;547
1996;35;2;1;548
1998;269;17;1;549
1999;271;17;1;550
2001;325;20;1;551
2002;92;6;1;552
2004;196;12;1;553
2000;302;19;1;554
2006;196;12;1;555
2006;194;12;0;556
580;287;15;1;557
2007;265;17;1;558
2008;131;9;1;559
2009;51;3;1;560
2010;261;16;1;561
2010;253;16;0;562
2011;306;19;1;563
2012;175;10;1;564
2013;325;20;1;565
2014;79;5;0;566
2014;186;11;0;567
2014;87;5;1;568
2014;191;11;0;569
2014;89;5;0;570
2015;45;3;0;571
2016;64;3;1;572
2016;45;3;0;573
299;192;11;0;574
2018;325;20;1;575
1123;20;1;0;576
2019;306;19;1;577
1129;35;2;1;578
2020;322;20;1;579
2020;259;16;0;580
2021;330;20;1;581
169;279;15;1;582
169;129;9;0;583
339;282;15;1;584
1117;285;15;1;585
1172;282;15;1;586
1172;284;15;0;587
1331;287;15;1;588
1350;282;15;1;589
1350;67;4;0;590
1355;251;16;1;591
1362;262;16;1;592
2022;225;13;1;593
2025;225;13;1;594
2025;257;16;0;595
2026;65;4;1;596
2027;230;13;1;597
2028;235;13;1;598
2029;241;13;1;599
2030;123;7;0;600
2030;243;13;1;601
2031;88;5;1;602
2032;322;20;1;603
2033;247;13;1;604
2034;224;13;1;605
2035;115;7;1;606
2036;327;20;1;607
2037;17;1;1;608
2038;301;19;1;609
2039;329;20;1;610
2040;327;20;1;611
2040;115;7;0;612
2041;314;19;1;613
2042;151;8;1;614
2043;325;20;1;615
2044;74;4;1;616
2045;322;20;1;617
2015;64;3;1;618
2046;322;20;1;619
2046;259;16;0;620
2047;32;2;1;621
2048;214;14;1;622
2049;42;2;1;623
2050;35;2;1;624
2051;311;19;1;625
2052;177;10;1;626
2053;211;14;1;627
2054;302;19;1;628
1637;5;1;1;629
1971;6;1;1;630
2003;270;17;1;631
2005;296;18;1;632
2005;297;18;0;633
2017;13;1;1;634
1688;299;18;0;635
2024;14;1;1;636
2055;19;1;1;637
2056;20;1;1;638
2057;21;1;1;639
2058;23;1;1;640
2059;310;19;1;641
2061;3;1;1;642
2062;79;5;1;643
2063;96;6;1;644
2064;327;20;1;645
2065;84;5;1;646
2066;9;1;1;647
1814;310;19;1;648
2067;121;7;1;649
2069;74;4;1;650
2070;32;2;1;651
2068;191;11;1;652
2072;322;20;1;653
2072;259;16;0;654
2071;316;19;1;655
1669;230;13;0;656
2073;102;6;1;657
2074;311;19;1;658
131;87;5;0;659
2075;92;6;1;660
2076;191;11;1;661
2077;186;11;1;662
2078;95;6;1;663
2079;74;4;1;664
2080;72;4;1;665
2081;327;20;1;666
2082;9;1;1;667
2083;106;7;1;668
2084;110;7;1;669
2085;109;7;0;670
2085;123;7;1;671
2086;111;7;1;672
2087;120;7;1;673
2088;125;7;1;674
2089;319;7;1;675
2090;173;10;1;676
2091;329;20;1;677
2092;40;2;1;678
2093;115;7;1;679
2094;309;19;1;680
2095;225;13;1;681
2096;229;13;1;682
2097;322;20;1;683
2099;225;13;1;684
2100;234;13;1;685
2101;225;13;1;686
2102;117;7;1;687
2103;117;7;1;688
2104;117;7;1;689
2105;58;3;1;690
2106;11;1;1;691
2107;11;1;1;692
2108;11;1;1;693
2109;11;1;1;694
2110;11;1;1;695
2112;18;1;1;696
2113;18;1;1;697
2114;18;1;1;698
2115;23;1;1;699
2116;216;14;1;700
2117;105;7;1;701
2118;110;7;1;702
2119;111;7;1;703
2120;112;7;1;704
2121;115;7;1;705
2122;7;1;1;706
2123;120;7;1;707
2124;177;10;1;708
2125;123;7;1;709
2125;109;7;0;710
2126;315;19;1;711
2127;124;7;1;712
2127;319;7;0;713
2128;125;7;1;714
2129;127;7;1;715
2130;172;10;1;716
2131;173;10;1;717
2132;308;19;1;718
2133;280;15;1;719
2134;176;10;1;720
2135;290;18;1;721
2136;234;13;1;722
2137;285;15;1;723
2138;10;1;1;724
2139;178;10;1;725
2140;161;8;1;726
2140;157;8;0;727
2140;212;14;0;728
2141;313;19;1;729
2142;305;19;1;730
2143;304;19;1;731
2144;306;19;1;732
2145;144;8;1;733
2146;202;14;1;734
2147;204;14;1;735
2148;148;8;1;736
2149;205;14;1;737
2150;206;14;1;738
2150;211;14;0;739
2151;213;14;1;740
2152;214;14;1;741
2153;215;14;1;742
2154;163;8;1;743
2154;154;8;0;744
2155;168;8;0;745
2155;147;8;1;746
2156;216;14;1;747
2157;199;12;1;748
2158;222;13;1;749
2159;227;13;1;750
2160;229;13;1;751
2161;235;13;1;752
2162;237;13;1;753
2163;238;13;1;754
2164;240;13;1;755
2165;241;13;1;756
2166;298;18;1;757
2167;246;13;1;758
2168;247;13;1;759
2169;250;16;1;760
2170;251;16;1;761
2171;195;12;1;762
2172;281;15;1;763
2173;256;16;1;764
2174;253;16;1;765
2175;257;16;1;766
2176;258;16;1;767
2177;322;20;1;768
2178;260;16;1;769
2179;309;19;1;770
2180;261;16;1;771
2181;262;16;1;772
2182;263;16;1;773
2183;286;15;1;774
2184;64;3;1;775
2185;287;15;1;776
2186;184;11;1;777
2187;187;11;1;778
2188;268;17;1;779
